,name,country_name,clay_Win%,Ace%,SPW,DF%,1st%,2nd%,Hld%,Pts/SG
27,Jan Lennard Struff,Germany,71.43%,8.70%,64.70%,4.10%,74.10%,52.20%,83.30%,6.6
28,Daniil Medvedev,Russian Federation,70.00%,6.00%,62.90%,6.10%,72.10%,48.20%,79.10%,6.5
29,Daniil Medvedev,Russian Federation,70.00%,6.00%,62.90%,6.10%,72.10%,48.20%,79.10%,6.5
30,Alex De Minaur,Australia,66.67%,1.80%,62.20%,3.70%,69.70%,52.70%,75.50%,6.3
31,Alex De Minaur,Australia,66.67%,1.80%,62.20%,3.70%,69.70%,52.70%,75.50%,6.3
32,Hubert Hurkacz,Poland,66.67%,11.80%,65.40%,3.40%,79.00%,47.30%,82.00%,6.4
33,Hubert Hurkacz,Poland,66.67%,11.80%,65.40%,3.40%,79.00%,47.30%,82.00%,6.4
34,Lorenzo Musetti,Italy,66.67%,3.70%,62.40%,2.40%,68.30%,52.10%,77.20%,6.1
35,Lorenzo Musetti,Italy,66.67%,3.70%,62.40%,2.40%,68.30%,52.10%,77.20%,6.1
36,Jiri Lehecka,Czech Republic,62.50%,3.70%,60.60%,2.80%,67.50%,47.60%,71.20%,6.2
37,Jiri Lehecka,Czech Republic,62.50%,3.70%,60.60%,2.80%,67.50%,47.60%,71.20%,6.2
38,Roman Safiullin,Russian Federation,62.50%,4.90%,66.20%,4.10%,74.10%,51.10%,81.30%,6.3
39,Roman Safiullin,Russian Federation,62.50%,4.90%,66.20%,4.10%,74.10%,51.10%,81.30%,6.3
40,Cameron Norrie,United Kingdom,60.00%,4.70%,63.80%,2.50%,68.80%,54.30%,79.20%,6.3
41,Cameron Norrie,United Kingdom,60.00%,4.70%,63.80%,2.50%,68.80%,54.30%,79.20%,6.3
42,Sebastian Korda,United States,60.00%,5.00%,57.00%,2.90%,63.10%,47.20%,68.50%,7.0
43,Sebastian Korda,United States,60.00%,5.00%,57.00%,2.90%,63.10%,47.20%,68.50%,7.0
44,Tommy Paul,United States,58.33%,4.80%,60.60%,3.00%,65.00%,52.70%,74.20%,6.8
45,Tommy Paul,United States,58.33%,4.80%,60.60%,3.00%,65.00%,52.70%,74.20%,6.8
46,Laslo Djere,Serbia,57.14%,6.20%,64.60%,3.90%,71.50%,54.40%,83.60%,6.5
47,Laslo Djere,Serbia,57.14%,6.20%,64.60%,3.90%,71.50%,54.40%,83.60%,6.5
48,Nicolas Jarry,Chile,57.14%,10.00%,68.10%,3.00%,76.10%,54.00%,86.50%,6.2
49,Nicolas Jarry,Chile,57.14%,10.00%,68.10%,3.00%,76.10%,54.00%,86.50%,6.2
50,Yannick Hanfmann,Germany,57.14%,5.40%,63.60%,2.10%,68.20%,54.10%,80.00%,6.4
51,Yannick Hanfmann,Germany,57.14%,5.40%,63.60%,2.10%,68.20%,54.10%,80.00%,6.4
52,Mackenzie Mcdonald,United States,54.55%,3.60%,57.70%,3.20%,65.70%,39.70%,65.20%,6.7
53,Mackenzie Mcdonald,United States,54.55%,3.60%,57.70%,3.20%,65.70%,39.70%,65.20%,6.7
54,Stefanos Tsitsipas,Greece,50.00%,5.50%,68.10%,3.10%,77.00%,52.30%,84.80%,5.9
55,Stefanos Tsitsipas,Greece,50.00%,5.50%,68.10%,3.10%,77.00%,52.30%,84.80%,5.9
56,Taylor Fritz,United States,42.86%,9.80%,68.10%,2.70%,76.10%,56.60%,81.70%,5.9
57,Taylor Fritz,United States,42.86%,9.80%,68.10%,2.70%,76.10%,56.60%,81.70%,5.9
58,Ugo Humbert,France,42.86%,4.60%,62.80%,4.20%,72.60%,48.60%,81.70%,6.6
59,Ugo Humbert,France,42.86%,4.60%,62.80%,4.20%,72.60%,48.60%,81.70%,6.6
60,Alejandro Davidovich Fokina,Spain,40.00%,2.30%,61.10%,1.90%,66.10%,50.00%,77.90%,6.9
61,Alejandro Davidovich Fokina,Spain,40.00%,2.30%,61.10%,1.90%,66.10%,50.00%,77.90%,6.9
62,Aleksandar Vukic,Australia,40.00%,6.10%,63.10%,2.90%,70.00%,51.90%,80.00%,6.3
63,Aleksandar Vukic,Australia,40.00%,6.10%,63.10%,2.90%,70.00%,51.90%,80.00%,6.3
64,Aslan Karatsev,Russian Federation,40.00%,5.10%,66.50%,3.60%,74.90%,51.90%,84.50%,6.4
65,Aslan Karatsev,Russian Federation,40.00%,5.10%,66.50%,3.60%,74.90%,51.90%,84.50%,6.4
66,Ben Shelton,United States,40.00%,9.40%,60.20%,6.20%,70.90%,43.60%,73.30%,6.5
67,Ben Shelton,United States,40.00%,9.40%,60.20%,6.20%,70.90%,43.60%,73.30%,6.5
68,Lorenzo Sonego,Italy,33.33%,4.80%,64.50%,2.70%,71.30%,51.20%,81.10%,6.3
69,Lorenzo Sonego,Italy,33.33%,4.80%,64.50%,2.70%,71.30%,51.20%,81.10%,6.3
70,Carlos Alcaraz,Spain,89.29%,4.80%,65.40%,2.50%,69.90%,56.20%,82.80%,6.2
71,Carlos Alcaraz,Spain,89.29%,4.80%,65.40%,2.50%,69.90%,56.20%,82.80%,6.2
72,Holger Rune,Denmark,80.00%,3.70%,64.10%,5.10%,71.10%,53.40%,81.50%,6.4
73,Holger Rune,Denmark,80.00%,3.70%,64.10%,5.10%,71.10%,53.40%,81.50%,6.4
74,Novak Djokovic,Serbia,80.00%,5.90%,65.50%,3.10%,71.60%,53.20%,81.00%,6.4
75,Novak Djokovic,Serbia,80.00%,5.90%,65.50%,3.10%,71.60%,53.20%,81.00%,6.4
76,Andrey Rublev,Russian Federation,79.17%,7.10%,65.30%,2.50%,73.50%,53.40%,83.90%,6.5
77,Andrey Rublev,Russian Federation,79.17%,7.10%,65.30%,2.50%,73.50%,53.40%,83.90%,6.5
78,Stefanos Tsitsipas,Greece,77.27%,5.50%,68.10%,3.10%,77.00%,52.30%,84.80%,5.9
79,Stefanos Tsitsipas,Greece,77.27%,5.50%,68.10%,3.10%,77.00%,52.30%,84.80%,5.9
