,name,country_name,grass_Win%,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP/Match,BHP/Match
59,Dominic Thiem,Austria,54.17%,4.1,4.0,4.2,51.00%,47.40%,43.60%,51.90%,53.00%,33.00%,3.5,-2.5
60,Marcos Giron,United States,53.85%,3.9,4.4,3.4,49.00%,38.90%,48.80%,48.70%,49.20%,17.40%,6.3,-0.5
61,Marcos Giron,United States,53.85%,3.9,4.4,3.4,49.00%,38.90%,48.80%,48.70%,49.20%,17.40%,6.3,-0.5
62,Roberto Carballes Baena,Spain,53.85%,5.2,5.6,4.8,49.10%,50.30%,46.30%,47.90%,54.80%,11.30%,11.9,1.0
63,Roberto Carballes Baena,Spain,53.85%,5.2,5.6,4.8,49.10%,50.30%,46.30%,47.90%,54.80%,11.30%,11.9,1.0
64,Alejandro Davidovich Fokina,Spain,52.94%,4.2,4.2,4.3,49.70%,49.40%,51.50%,49.20%,50.20%,12.20%,4.5,0.0
65,Alejandro Davidovich Fokina,Spain,52.94%,4.2,4.2,4.3,49.70%,49.40%,51.50%,49.20%,50.20%,12.20%,4.5,0.0
66,Alexander Shevchenko,Russian Federation,50.00%,4.3,4.6,4.0,47.10%,45.60%,52.00%,43.70%,51.00%,9.40%,1.9,0.0
67,Alexander Shevchenko,Russian Federation,50.00%,4.3,4.6,4.0,47.10%,45.60%,52.00%,43.70%,51.00%,9.40%,1.9,0.0
68,Alex Molcan,Slovakia,50.00%,4.7,5.1,4.4,46.20%,46.30%,54.20%,49.30%,50.60%,21.60%,7.9,-1.3
69,Alex Molcan,Slovakia,50.00%,4.7,5.1,4.4,46.20%,46.30%,54.20%,49.30%,50.60%,21.60%,7.9,-1.3
70,Christopher Oconnell,Australia,50.00%,3.8,3.8,3.8,51.40%,48.90%,50.70%,40.80%,52.40%,54.90%,3.8,0.1
71,Christopher Oconnell,Australia,50.00%,3.8,3.8,3.8,51.40%,48.90%,50.70%,40.80%,52.40%,54.90%,3.8,0.1
72,Hubert Hurkacz,Poland,50.00%,3.8,3.5,4.1,53.70%,48.80%,44.40%,46.50%,52.80%,18.30%,2.5,-3.6
73,Hubert Hurkacz,Poland,50.00%,3.8,3.5,4.1,53.70%,48.80%,44.40%,46.50%,52.80%,18.30%,2.5,-3.6
74,Jiri Lehecka,Czech Republic,50.00%,3.8,3.8,3.8,48.40%,52.10%,47.90%,44.10%,55.00%,16.50%,2.4,-1.0
75,Jiri Lehecka,Czech Republic,50.00%,3.8,3.8,3.8,48.40%,52.10%,47.90%,44.10%,55.00%,16.50%,2.4,-1.0
76,Miomir Kecmanovic,Serbia,50.00%,4.3,4.9,3.5,42.10%,45.20%,46.90%,45.40%,49.20%,19.00%,4.4,1.1
77,Miomir Kecmanovic,Serbia,50.00%,4.3,4.9,3.5,42.10%,45.20%,46.90%,45.40%,49.20%,19.00%,4.4,1.1
78,Alexandre Muller,France,45.45%,4.1,4.5,3.8,47.70%,39.20%,42.10%,37.20%,44.50%,11.00%,-4.8,-5.1
79,Alexandre Muller,France,45.45%,4.1,4.5,3.8,47.70%,39.20%,42.10%,37.20%,44.50%,11.00%,-4.8,-5.1
80,Daniel Evans,United Kingdom,45.45%,4.8,4.6,5.1,48.00%,52.20%,56.80%,46.40%,42.70%,72.70%,8.3,-0.7
81,Daniel Evans,United Kingdom,45.45%,4.8,4.6,5.1,48.00%,52.20%,56.80%,46.40%,42.70%,72.70%,8.3,-0.7
82,Emil Ruusuvuori,Finland,45.45%,4.1,4.4,3.9,45.40%,53.00%,54.30%,48.40%,52.20%,7.40%,1.7,-1.3
83,Emil Ruusuvuori,Finland,45.45%,4.1,4.4,3.9,45.40%,53.00%,54.30%,48.40%,52.20%,7.40%,1.7,-1.3
84,Albert Ramos,Spain,44.00%,4.2,4.8,3.7,42.60%,41.60%,44.80%,50.00%,57.00%,19.50%,6.4,-4.3
85,Albert Ramos,Spain,44.00%,4.2,4.8,3.7,42.60%,41.60%,44.80%,50.00%,57.00%,19.50%,6.4,-4.3
86,Botic Van De Zandschulp,Netherlands,40.00%,4.5,4.5,4.6,48.20%,49.60%,47.20%,46.50%,49.20%,18.10%,4.3,-4.8
87,Botic Van De Zandschulp,Netherlands,40.00%,4.5,4.5,4.6,48.20%,49.60%,47.20%,46.50%,49.20%,18.10%,4.3,-4.8
88,Marton Fucsovics,Hungary,40.00%,4.9,5.0,4.8,46.90%,44.80%,45.80%,50.40%,53.90%,39.70%,5.5,-4.5
89,Marton Fucsovics,Hungary,40.00%,4.9,5.0,4.8,46.90%,44.80%,45.80%,50.40%,53.90%,39.70%,5.5,-4.5
90,Roberto Bautista Agut,Spain,36.36%,5.1,5.5,4.6,51.80%,56.50%,53.30%,49.20%,50.50%,17.80%,16.8,-0.1
91,Roberto Bautista Agut,Spain,36.36%,5.1,5.5,4.6,51.80%,56.50%,53.30%,49.20%,50.50%,17.80%,16.8,-0.1
92,Richard Gasquet,France,20.00%,4.1,4.4,3.7,45.70%,51.90%,50.00%,33.60%,45.00%,22.70%,5.1,1.4
93,Richard Gasquet,France,20.00%,4.1,4.4,3.7,45.70%,51.90%,50.00%,33.60%,45.00%,22.70%,5.1,1.4
94,Marc Andrea Huesler,Switzerland,10.00%,3.6,3.5,3.8,48.00%,45.80%,34.30%,41.00%,55.60%,18.00%,2.4,-4.6
95,Marc Andrea Huesler,Switzerland,10.00%,3.6,3.5,3.8,48.00%,45.80%,34.30%,41.00%,55.60%,18.00%,2.4,-4.6
96,Carlos Alcaraz,Spain,100.00%,3.9,3.9,3.9,51.40%,56.30%,54.90%,56.20%,51.90%,18.20%,10.1,2.2
97,Carlos Alcaraz,Spain,100.00%,3.9,3.9,3.9,51.40%,56.30%,54.90%,56.20%,51.90%,18.20%,10.1,2.2
98,Novak Djokovic,Serbia,85.71%,4.6,4.5,4.7,54.00%,56.90%,53.90%,54.60%,50.20%,16.80%,14.5,5.1
99,Novak Djokovic,Serbia,85.71%,4.6,4.5,4.7,54.00%,56.90%,53.90%,54.60%,50.20%,16.80%,14.5,5.1
100,Alexander Bublik,Kazakhstan,81.82%,3.1,2.7,3.5,50.60%,49.50%,48.10%,40.00%,50.40%,21.10%,2.2,1.6
101,Alexander Bublik,Kazakhstan,81.82%,3.1,2.7,3.5,50.60%,49.50%,48.10%,40.00%,50.40%,21.10%,2.2,1.6
102,Andrey Rublev,Russian Federation,80.00%,4.0,4.2,3.8,49.80%,49.90%,52.90%,51.40%,51.00%,9.60%,12.6,1.2
103,Andrey Rublev,Russian Federation,80.00%,4.0,4.2,3.8,49.80%,49.90%,52.90%,51.40%,51.00%,9.60%,12.6,1.2
104,Frances Tiafoe,United States,77.78%,3.9,4.0,3.8,48.50%,54.00%,50.30%,52.10%,46.80%,17.00%,7.5,2.4
105,Frances Tiafoe,United States,77.78%,3.9,4.0,3.8,48.50%,54.00%,50.30%,52.10%,46.80%,17.00%,7.5,2.4
106,Holger Rune,Denmark,77.78%,3.9,3.8,3.9,49.10%,51.80%,51.10%,50.20%,55.30%,15.40%,10.0,0.5
107,Holger Rune,Denmark,77.78%,3.9,3.8,3.9,49.10%,51.80%,51.10%,50.20%,55.30%,15.40%,10.0,0.5
108,Tallon Griekspoor,Netherlands,77.78%,3.6,3.4,3.8,49.80%,47.80%,47.20%,50.40%,51.80%,26.10%,8.6,-1.2
109,Tallon Griekspoor,Netherlands,77.78%,3.6,3.4,3.8,49.80%,47.80%,47.20%,50.40%,51.80%,26.10%,8.6,-1.2
110,Adrian Mannarino,France,75.00%,4.6,5.1,4.1,48.70%,51.50%,52.70%,58.10%,56.00%,9.10%,3.8,6.6
111,Adrian Mannarino,France,75.00%,4.6,5.1,4.1,48.70%,51.50%,52.70%,58.10%,56.00%,9.10%,3.8,6.6
112,Christopher Eubanks,United States,75.00%,2.7,2.7,2.7,49.00%,48.20%,46.90%,63.20%,59.10%,47.30%,3.0,0.1
113,Christopher Eubanks,United States,75.00%,2.7,2.7,2.7,49.00%,48.20%,46.90%,63.20%,59.10%,47.30%,3.0,0.1
114,Francisco Cerundolo,Argentina,75.00%,4.4,4.3,4.4,49.50%,53.90%,53.80%,51.20%,51.90%,9.00%,9.6,2.3
115,Francisco Cerundolo,Argentina,75.00%,4.4,4.3,4.4,49.50%,53.90%,53.80%,51.20%,51.90%,9.00%,9.6,2.3
116,Jannik Sinner,Italy,72.73%,4.3,4.4,4.2,54.10%,53.70%,51.80%,53.40%,51.20%,6.30%,7.3,1.2
117,Jannik Sinner,Italy,72.73%,4.3,4.4,4.2,54.10%,53.70%,51.80%,53.40%,51.20%,6.30%,7.3,1.2
118,Alexander Zverev,Germany,71.43%,4.6,4.5,4.7,49.50%,49.30%,50.50%,46.40%,49.50%,11.20%,4.2,0.8
119,Alexander Zverev,Germany,71.43%,4.6,4.5,4.7,49.50%,49.30%,50.50%,46.40%,49.50%,11.20%,4.2,0.8
120,Grigor Dimitrov,Bulgaria,71.43%,4.5,4.4,4.6,49.90%,47.80%,49.80%,49.10%,52.40%,60.10%,7.8,-2.4
121,Grigor Dimitrov,Bulgaria,71.43%,4.5,4.4,4.6,49.90%,47.80%,49.80%,49.10%,52.40%,60.10%,7.8,-2.4
122,Jan Lennard Struff,Germany,71.43%,3.0,3.0,2.9,48.60%,51.90%,52.30%,53.30%,44.90%,10.60%,6.1,-0.5
123,Jan Lennard Struff,Germany,71.43%,3.0,3.0,2.9,48.60%,51.90%,52.30%,53.30%,44.90%,10.60%,6.1,-0.5
124,Marton Fucsovics,Hungary,71.43%,4.9,5.0,4.8,46.90%,44.80%,45.80%,50.40%,53.90%,39.70%,5.5,-4.5
125,Marton Fucsovics,Hungary,71.43%,4.9,5.0,4.8,46.90%,44.80%,45.80%,50.40%,53.90%,39.70%,5.5,-4.5
126,Daniil Medvedev,Russian Federation,70.00%,5.0,4.5,5.5,53.30%,53.70%,51.60%,53.70%,45.30%,8.40%,9.0,6.0
127,Daniil Medvedev,Russian Federation,70.00%,5.0,4.5,5.5,53.30%,53.70%,51.60%,53.70%,45.30%,8.40%,9.0,6.0
128,Alex De Minaur,Australia,66.67%,5.2,5.3,5.1,51.00%,48.60%,48.50%,51.60%,45.40%,13.90%,4.5,0.2
129,Alex De Minaur,Australia,66.67%,5.2,5.3,5.1,51.00%,48.60%,48.50%,51.60%,45.40%,13.90%,4.5,0.2
130,Hubert Hurkacz,Poland,66.67%,3.8,3.5,4.1,53.70%,48.80%,44.40%,46.50%,52.80%,18.30%,2.5,-3.6
131,Hubert Hurkacz,Poland,66.67%,3.8,3.5,4.1,53.70%,48.80%,44.40%,46.50%,52.80%,18.30%,2.5,-3.6
132,Lorenzo Musetti,Italy,66.67%,4.2,4.4,3.9,47.80%,47.20%,51.00%,44.50%,53.30%,34.70%,5.6,-0.1
133,Lorenzo Musetti,Italy,66.67%,4.2,4.4,3.9,47.80%,47.20%,51.00%,44.50%,53.30%,34.70%,5.6,-0.1
134,Jiri Lehecka,Czech Republic,62.50%,3.8,3.8,3.8,48.40%,52.10%,47.90%,44.10%,55.00%,16.50%,2.4,-1.0
135,Jiri Lehecka,Czech Republic,62.50%,3.8,3.8,3.8,48.40%,52.10%,47.90%,44.10%,55.00%,16.50%,2.4,-1.0
136,Cameron Norrie,United Kingdom,60.00%,4.3,4.4,4.2,46.50%,42.40%,52.20%,54.30%,53.90%,7.10%,4.8,-1.8
137,Cameron Norrie,United Kingdom,60.00%,4.3,4.4,4.2,46.50%,42.40%,52.20%,54.30%,53.90%,7.10%,4.8,-1.8
138,Matteo Berrettini,Italy,60.00%,3.5,3.0,3.8,51.20%,44.90%,44.30%,58.90%,51.20%,45.30%,1.9,-1.5
139,Matteo Berrettini,Italy,60.00%,3.5,3.0,3.8,51.20%,44.90%,44.30%,58.90%,51.20%,45.30%,1.9,-1.5
140,Roberto Bautista Agut,Spain,60.00%,5.1,5.5,4.6,51.80%,56.50%,53.30%,49.20%,50.50%,17.80%,16.8,-0.1
141,Roberto Bautista Agut,Spain,60.00%,5.1,5.5,4.6,51.80%,56.50%,53.30%,49.20%,50.50%,17.80%,16.8,-0.1
142,Sebastian Korda,United States,60.00%,4.1,4.1,4.2,49.40%,48.40%,54.40%,52.60%,47.70%,17.90%,8.0,0.6
143,Sebastian Korda,United States,60.00%,4.1,4.1,4.2,49.40%,48.40%,54.40%,52.60%,47.70%,17.90%,8.0,0.6
144,Tommy Paul,United States,58.33%,4.1,4.0,4.1,48.50%,49.90%,50.50%,55.20%,51.70%,12.70%,6.8,2.6
145,Tommy Paul,United States,58.33%,4.1,4.0,4.1,48.50%,49.90%,50.50%,55.20%,51.70%,12.70%,6.8,2.6
146,Christopher Oconnell,Australia,57.14%,3.8,3.8,3.8,51.40%,48.90%,50.70%,40.80%,52.40%,54.90%,3.8,0.1
147,Christopher Oconnell,Australia,57.14%,3.8,3.8,3.8,51.40%,48.90%,50.70%,40.80%,52.40%,54.90%,3.8,0.1
148,Denis Shapovalov,Canada,57.14%,4.0,3.5,4.3,48.50%,52.20%,43.80%,52.70%,57.20%,14.50%,9.0,-1.5
149,Denis Shapovalov,Canada,57.14%,4.0,3.5,4.3,48.50%,52.20%,43.80%,52.70%,57.20%,14.50%,9.0,-1.5
150,Laslo Djere,Serbia,57.14%,4.2,4.2,4.1,46.10%,50.00%,53.10%,38.80%,46.10%,20.00%,6.4,-2.2
151,Laslo Djere,Serbia,57.14%,4.2,4.2,4.1,46.10%,50.00%,53.10%,38.80%,46.10%,20.00%,6.4,-2.2
152,Nicolas Jarry,Chile,57.14%,3.4,3.4,3.5,52.40%,56.70%,49.80%,57.90%,54.90%,12.10%,11.1,-0.4
153,Nicolas Jarry,Chile,57.14%,3.4,3.4,3.5,52.40%,56.70%,49.80%,57.90%,54.90%,12.10%,11.1,-0.4
154,Mackenzie Mcdonald,United States,54.55%,3.8,4.0,3.5,50.20%,49.80%,45.80%,48.70%,54.40%,12.90%,13.8,-2.1
