,name,country_name,clay_Win%,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP/Match,BHP/Match
23,Alexander Zverev,Germany,71.43%,4.6,4.5,4.7,49.50%,49.30%,50.50%,46.40%,49.50%,11.20%,4.2,0.8
24,Grigor Dimitrov,Bulgaria,71.43%,4.5,4.4,4.6,49.90%,47.80%,49.80%,49.10%,52.40%,60.10%,7.8,-2.4
25,Grigor Dimitrov,Bulgaria,71.43%,4.5,4.4,4.6,49.90%,47.80%,49.80%,49.10%,52.40%,60.10%,7.8,-2.4
26,Jan Lennard Struff,Germany,71.43%,3.0,3.0,2.9,48.60%,51.90%,52.30%,53.30%,44.90%,10.60%,6.1,-0.5
27,Jan Lennard Struff,Germany,71.43%,3.0,3.0,2.9,48.60%,51.90%,52.30%,53.30%,44.90%,10.60%,6.1,-0.5
28,Marton Fucsovics,Hungary,71.43%,4.9,5.0,4.8,46.90%,44.80%,45.80%,50.40%,53.90%,39.70%,5.5,-4.5
29,Marton Fucsovics,Hungary,71.43%,4.9,5.0,4.8,46.90%,44.80%,45.80%,50.40%,53.90%,39.70%,5.5,-4.5
30,Daniil Medvedev,Russian Federation,70.00%,5.0,4.5,5.5,53.30%,53.70%,51.60%,53.70%,45.30%,8.40%,9.0,6.0
31,Daniil Medvedev,Russian Federation,70.00%,5.0,4.5,5.5,53.30%,53.70%,51.60%,53.70%,45.30%,8.40%,9.0,6.0
32,Alex De Minaur,Australia,66.67%,5.2,5.3,5.1,51.00%,48.60%,48.50%,51.60%,45.40%,13.90%,4.5,0.2
33,Alex De Minaur,Australia,66.67%,5.2,5.3,5.1,51.00%,48.60%,48.50%,51.60%,45.40%,13.90%,4.5,0.2
34,Hubert Hurkacz,Poland,66.67%,3.8,3.5,4.1,53.70%,48.80%,44.40%,46.50%,52.80%,18.30%,2.5,-3.6
35,Hubert Hurkacz,Poland,66.67%,3.8,3.5,4.1,53.70%,48.80%,44.40%,46.50%,52.80%,18.30%,2.5,-3.6
36,Lorenzo Musetti,Italy,66.67%,4.2,4.4,3.9,47.80%,47.20%,51.00%,44.50%,53.30%,34.70%,5.6,-0.1
37,Lorenzo Musetti,Italy,66.67%,4.2,4.4,3.9,47.80%,47.20%,51.00%,44.50%,53.30%,34.70%,5.6,-0.1
38,Jiri Lehecka,Czech Republic,62.50%,3.8,3.8,3.8,48.40%,52.10%,47.90%,44.10%,55.00%,16.50%,2.4,-1.0
39,Jiri Lehecka,Czech Republic,62.50%,3.8,3.8,3.8,48.40%,52.10%,47.90%,44.10%,55.00%,16.50%,2.4,-1.0
40,Cameron Norrie,United Kingdom,60.00%,4.3,4.4,4.2,46.50%,42.40%,52.20%,54.30%,53.90%,7.10%,4.8,-1.8
41,Cameron Norrie,United Kingdom,60.00%,4.3,4.4,4.2,46.50%,42.40%,52.20%,54.30%,53.90%,7.10%,4.8,-1.8
42,Matteo Berrettini,Italy,60.00%,3.5,3.0,3.8,51.20%,44.90%,44.30%,58.90%,51.20%,45.30%,1.9,-1.5
43,Matteo Berrettini,Italy,60.00%,3.5,3.0,3.8,51.20%,44.90%,44.30%,58.90%,51.20%,45.30%,1.9,-1.5
44,Roberto Bautista Agut,Spain,60.00%,5.1,5.5,4.6,51.80%,56.50%,53.30%,49.20%,50.50%,17.80%,16.8,-0.1
45,Roberto Bautista Agut,Spain,60.00%,5.1,5.5,4.6,51.80%,56.50%,53.30%,49.20%,50.50%,17.80%,16.8,-0.1
46,Sebastian Korda,United States,60.00%,4.1,4.1,4.2,49.40%,48.40%,54.40%,52.60%,47.70%,17.90%,8.0,0.6
47,Sebastian Korda,United States,60.00%,4.1,4.1,4.2,49.40%,48.40%,54.40%,52.60%,47.70%,17.90%,8.0,0.6
48,Tommy Paul,United States,58.33%,4.1,4.0,4.1,48.50%,49.90%,50.50%,55.20%,51.70%,12.70%,6.8,2.6
49,Tommy Paul,United States,58.33%,4.1,4.0,4.1,48.50%,49.90%,50.50%,55.20%,51.70%,12.70%,6.8,2.6
50,Christopher Oconnell,Australia,57.14%,3.8,3.8,3.8,51.40%,48.90%,50.70%,40.80%,52.40%,54.90%,3.8,0.1
51,Christopher Oconnell,Australia,57.14%,3.8,3.8,3.8,51.40%,48.90%,50.70%,40.80%,52.40%,54.90%,3.8,0.1
52,Denis Shapovalov,Canada,57.14%,4.0,3.5,4.3,48.50%,52.20%,43.80%,52.70%,57.20%,14.50%,9.0,-1.5
53,Denis Shapovalov,Canada,57.14%,4.0,3.5,4.3,48.50%,52.20%,43.80%,52.70%,57.20%,14.50%,9.0,-1.5
54,Laslo Djere,Serbia,57.14%,4.2,4.2,4.1,46.10%,50.00%,53.10%,38.80%,46.10%,20.00%,6.4,-2.2
55,Laslo Djere,Serbia,57.14%,4.2,4.2,4.1,46.10%,50.00%,53.10%,38.80%,46.10%,20.00%,6.4,-2.2
56,Nicolas Jarry,Chile,57.14%,3.4,3.4,3.5,52.40%,56.70%,49.80%,57.90%,54.90%,12.10%,11.1,-0.4
57,Nicolas Jarry,Chile,57.14%,3.4,3.4,3.5,52.40%,56.70%,49.80%,57.90%,54.90%,12.10%,11.1,-0.4
58,Mackenzie Mcdonald,United States,54.55%,3.8,4.0,3.5,50.20%,49.80%,45.80%,48.70%,54.40%,12.90%,13.8,-2.1
59,Mackenzie Mcdonald,United States,54.55%,3.8,4.0,3.5,50.20%,49.80%,45.80%,48.70%,54.40%,12.90%,13.8,-2.1
60,Stefanos Tsitsipas,Greece,50.00%,3.7,3.5,4.0,51.60%,48.70%,43.80%,51.40%,53.10%,27.00%,8.5,-3.5
61,Stefanos Tsitsipas,Greece,50.00%,3.7,3.5,4.0,51.60%,48.70%,43.80%,51.40%,53.10%,27.00%,8.5,-3.5
62,Emil Ruusuvuori,Finland,42.86%,4.1,4.4,3.9,45.40%,53.00%,54.30%,48.40%,52.20%,7.40%,1.7,-1.3
63,Emil Ruusuvuori,Finland,42.86%,4.1,4.4,3.9,45.40%,53.00%,54.30%,48.40%,52.20%,7.40%,1.7,-1.3
64,Taylor Fritz,United States,42.86%,4.3,4.3,4.2,50.70%,54.10%,49.30%,46.00%,51.30%,5.60%,9.7,1.8
65,Taylor Fritz,United States,42.86%,4.3,4.3,4.2,50.70%,54.10%,49.30%,46.00%,51.30%,5.60%,9.7,1.8
66,Alejandro Davidovich Fokina,Spain,40.00%,4.2,4.2,4.3,49.70%,49.40%,51.50%,49.20%,50.20%,12.20%,4.5,0.0
67,Alejandro Davidovich Fokina,Spain,40.00%,4.2,4.2,4.3,49.70%,49.40%,51.50%,49.20%,50.20%,12.20%,4.5,0.0
68,Aslan Karatsev,Russian Federation,40.00%,3.5,3.5,3.6,45.80%,47.90%,44.30%,62.10%,50.10%,13.50%,6.0,2.7
69,Aslan Karatsev,Russian Federation,40.00%,3.5,3.5,3.6,45.80%,47.90%,44.30%,62.10%,50.10%,13.50%,6.0,2.7
70,Ben Shelton,United States,40.00%,3.6,3.4,3.8,51.10%,47.30%,42.90%,50.00%,52.50%,22.00%,6.9,-2.9
71,Ben Shelton,United States,40.00%,3.6,3.4,3.8,51.10%,47.30%,42.90%,50.00%,52.50%,22.00%,6.9,-2.9
72,Marc Andrea Huesler,Switzerland,40.00%,3.6,3.5,3.8,48.00%,45.80%,34.30%,41.00%,55.60%,18.00%,2.4,-4.6
73,Marc Andrea Huesler,Switzerland,40.00%,3.6,3.5,3.8,48.00%,45.80%,34.30%,41.00%,55.60%,18.00%,2.4,-4.6
74,Roberto Carballes Baena,Spain,40.00%,5.2,5.6,4.8,49.10%,50.30%,46.30%,47.90%,54.80%,11.30%,11.9,1.0
75,Roberto Carballes Baena,Spain,40.00%,5.2,5.6,4.8,49.10%,50.30%,46.30%,47.90%,54.80%,11.30%,11.9,1.0
76,Zhizhen Zhang,China,40.00%,4.0,4.2,3.9,47.00%,44.50%,54.80%,51.10%,53.00%,11.50%,6.5,1.3
77,Zhizhen Zhang,China,40.00%,4.0,4.2,3.9,47.00%,44.50%,54.80%,51.10%,53.00%,11.50%,6.5,1.3
78,Lorenzo Sonego,Italy,33.33%,3.3,3.5,3.2,47.90%,39.90%,50.90%,34.60%,56.80%,25.40%,2.2,-5.2
79,Lorenzo Sonego,Italy,33.33%,3.3,3.5,3.2,47.90%,39.90%,50.90%,34.60%,56.80%,25.40%,2.2,-5.2
80,Miomir Kecmanovic,Serbia,33.33%,4.3,4.9,3.5,42.10%,45.20%,46.90%,45.40%,49.20%,19.00%,4.4,1.1
81,Miomir Kecmanovic,Serbia,33.33%,4.3,4.9,3.5,42.10%,45.20%,46.90%,45.40%,49.20%,19.00%,4.4,1.1
82,Richard Gasquet,France,33.33%,4.1,4.4,3.7,45.70%,51.90%,50.00%,33.60%,45.00%,22.70%,5.1,1.4
83,Richard Gasquet,France,33.33%,4.1,4.4,3.7,45.70%,51.90%,50.00%,33.60%,45.00%,22.70%,5.1,1.4
84,Brandon Nakashima,United States,20.00%,4.2,4.3,4.2,49.60%,51.50%,46.60%,56.30%,56.30%,22.40%,11.1,0.6
85,Brandon Nakashima,United States,20.00%,4.2,4.3,4.2,49.60%,51.50%,46.60%,56.30%,56.30%,22.40%,11.1,0.6
86,Marcos Giron,United States,20.00%,3.9,4.4,3.4,49.00%,38.90%,48.80%,48.70%,49.20%,17.40%,6.3,-0.5
87,Marcos Giron,United States,20.00%,3.9,4.4,3.4,49.00%,38.90%,48.80%,48.70%,49.20%,17.40%,6.3,-0.5
88,Yibing Wu,China,20.00%,3.9,4.4,3.3,47.50%,50.30%,56.10%,63.40%,53.80%,12.50%,16.1,8.3
89,Yibing Wu,China,20.00%,3.9,4.4,3.3,47.50%,50.30%,56.10%,63.40%,53.80%,12.50%,16.1,8.3
90,Maxime Cressy,United States,16.67%,2.6,2.0,3.2,49.20%,47.70%,32.40%,33.30%,44.50%,33.80%,-2.0,-5.6
91,Maxime Cressy,United States,16.67%,2.6,2.0,3.2,49.20%,47.70%,32.40%,33.30%,44.50%,33.80%,-2.0,-5.6
92,Carlos Alcaraz,Spain,89.29%,3.9,3.9,3.9,51.40%,56.30%,54.90%,56.20%,51.90%,18.20%,10.1,2.2
93,Carlos Alcaraz,Spain,89.29%,3.9,3.9,3.9,51.40%,56.30%,54.90%,56.20%,51.90%,18.20%,10.1,2.2
94,Holger Rune,Denmark,80.00%,3.9,3.8,3.9,49.10%,51.80%,51.10%,50.20%,55.30%,15.40%,10.0,0.5
95,Holger Rune,Denmark,80.00%,3.9,3.8,3.9,49.10%,51.80%,51.10%,50.20%,55.30%,15.40%,10.0,0.5
96,Novak Djokovic,Serbia,80.00%,4.6,4.5,4.7,54.00%,56.90%,53.90%,54.60%,50.20%,16.80%,14.5,5.1
97,Novak Djokovic,Serbia,80.00%,4.6,4.5,4.7,54.00%,56.90%,53.90%,54.60%,50.20%,16.80%,14.5,5.1
98,Andrey Rublev,Russian Federation,79.17%,4.0,4.2,3.8,49.80%,49.90%,52.90%,51.40%,51.00%,9.60%,12.6,1.2
99,Andrey Rublev,Russian Federation,79.17%,4.0,4.2,3.8,49.80%,49.90%,52.90%,51.40%,51.00%,9.60%,12.6,1.2
100,Stefanos Tsitsipas,Greece,77.27%,3.7,3.5,4.0,51.60%,48.70%,43.80%,51.40%,53.10%,27.00%,8.5,-3.5
101,Stefanos Tsitsipas,Greece,77.27%,3.7,3.5,4.0,51.60%,48.70%,43.80%,51.40%,53.10%,27.00%,8.5,-3.5
102,Daniil Medvedev,Russian Federation,76.92%,5.0,4.5,5.5,53.30%,53.70%,51.60%,53.70%,45.30%,8.40%,9.0,6.0
103,Daniil Medvedev,Russian Federation,76.92%,5.0,4.5,5.5,53.30%,53.70%,51.60%,53.70%,45.30%,8.40%,9.0,6.0
104,Alexander Zverev,Germany,74.07%,4.6,4.5,4.7,49.50%,49.30%,50.50%,46.40%,49.50%,11.20%,4.2,0.8
105,Alexander Zverev,Germany,74.07%,4.6,4.5,4.7,49.50%,49.30%,50.50%,46.40%,49.50%,11.20%,4.2,0.8
106,Casper Ruud,Norway,73.33%,4.3,4.3,4.4,51.90%,51.40%,52.10%,45.90%,53.30%,20.10%,11.2,0.8
107,Casper Ruud,Norway,73.33%,4.3,4.3,4.4,51.90%,51.40%,52.10%,45.90%,53.30%,20.10%,11.2,0.8
108,Jannik Sinner,Italy,72.73%,4.3,4.4,4.2,54.10%,53.70%,51.80%,53.40%,51.20%,6.30%,7.3,1.2
109,Jannik Sinner,Italy,72.73%,4.3,4.4,4.2,54.10%,53.70%,51.80%,53.40%,51.20%,6.30%,7.3,1.2
110,Nicolas Jarry,Chile,72.00%,3.4,3.4,3.5,52.40%,56.70%,49.80%,57.90%,54.90%,12.10%,11.1,-0.4
111,Nicolas Jarry,Chile,72.00%,3.4,3.4,3.5,52.40%,56.70%,49.80%,57.90%,54.90%,12.10%,11.1,-0.4
112,Cameron Norrie,United Kingdom,69.57%,4.3,4.4,4.2,46.50%,42.40%,52.20%,54.30%,53.90%,7.10%,4.8,-1.8
113,Cameron Norrie,United Kingdom,69.57%,4.3,4.4,4.2,46.50%,42.40%,52.20%,54.30%,53.90%,7.10%,4.8,-1.8
114,Arthur Fils,France,66.67%,3.8,3.9,3.7,51.10%,49.60%,56.10%,38.20%,49.60%,11.50%,8.2,-0.1
115,Arthur Fils,France,66.67%,3.8,3.9,3.7,51.10%,49.60%,56.10%,38.20%,49.60%,11.50%,8.2,-0.1
116,Frances Tiafoe,United States,66.67%,3.9,4.0,3.8,48.50%,54.00%,50.30%,52.10%,46.80%,17.00%,7.5,2.4
117,Frances Tiafoe,United States,66.67%,3.9,4.0,3.8,48.50%,54.00%,50.30%,52.10%,46.80%,17.00%,7.5,2.4
118,Grigor Dimitrov,Bulgaria,66.67%,4.5,4.4,4.6,49.90%,47.80%,49.80%,49.10%,52.40%,60.10%,7.8,-2.4
119,Grigor Dimitrov,Bulgaria,66.67%,4.5,4.4,4.6,49.90%,47.80%,49.80%,49.10%,52.40%,60.10%,7.8,-2.4
120,Karen Khachanov,Russian Federation,66.67%,4.3,4.6,4.0,52.70%,47.40%,50.80%,52.90%,48.30%,13.50%,7.9,3.6
121,Karen Khachanov,Russian Federation,66.67%,4.3,4.6,4.0,52.70%,47.40%,50.80%,52.90%,48.30%,13.50%,7.9,3.6
122,Taylor Fritz,United States,64.71%,4.3,4.3,4.2,50.70%,54.10%,49.30%,46.00%,51.30%,5.60%,9.7,1.8
123,Taylor Fritz,United States,64.71%,4.3,4.3,4.2,50.70%,54.10%,49.30%,46.00%,51.30%,5.60%,9.7,1.8
124,Borna Coric,Croatia,64.29%,4.1,4.5,3.7,47.70%,45.50%,40.50%,51.00%,51.00%,12.20%,1.2,-4.9
125,Borna Coric,Croatia,64.29%,4.1,4.5,3.7,47.70%,45.50%,40.50%,51.00%,51.00%,12.20%,1.2,-4.9
126,Jan Lennard Struff,Germany,64.29%,3.0,3.0,2.9,48.60%,51.90%,52.30%,53.30%,44.90%,10.60%,6.1,-0.5
127,Jan Lennard Struff,Germany,64.29%,3.0,3.0,2.9,48.60%,51.90%,52.30%,53.30%,44.90%,10.60%,6.1,-0.5
128,Aslan Karatsev,Russian Federation,63.64%,3.5,3.5,3.6,45.80%,47.90%,44.30%,62.10%,50.10%,13.50%,6.0,2.7
129,Aslan Karatsev,Russian Federation,63.64%,3.5,3.5,3.6,45.80%,47.90%,44.30%,62.10%,50.10%,13.50%,6.0,2.7
130,Sebastian Baez,Argentina,61.29%,4.6,4.7,4.5,47.20%,51.30%,57.40%,52.00%,56.30%,14.50%,7.8,0.5
131,Sebastian Baez,Argentina,61.29%,4.6,4.7,4.5,47.20%,51.30%,57.40%,52.00%,56.30%,14.50%,7.8,0.5
132,Tomas Martin Etcheverry,Argentina,61.29%,4.8,4.8,4.8,53.40%,44.90%,42.10%,43.90%,55.60%,11.40%,5.7,-5.4
133,Tomas Martin Etcheverry,Argentina,61.29%,4.8,4.8,4.8,53.40%,44.90%,42.10%,43.90%,55.60%,11.40%,5.7,-5.4
134,Francisco Cerundolo,Argentina,60.00%,4.4,4.3,4.4,49.50%,53.90%,53.80%,51.20%,51.90%,9.00%,9.6,2.3
135,Francisco Cerundolo,Argentina,60.00%,4.4,4.3,4.4,49.50%,53.90%,53.80%,51.20%,51.90%,9.00%,9.6,2.3
136,Laslo Djere,Serbia,59.26%,4.2,4.2,4.1,46.10%,50.00%,53.10%,38.80%,46.10%,20.00%,6.4,-2.2
137,Laslo Djere,Serbia,59.26%,4.2,4.2,4.1,46.10%,50.00%,53.10%,38.80%,46.10%,20.00%,6.4,-2.2
138,Lorenzo Musetti,Italy,59.26%,4.2,4.4,3.9,47.80%,47.20%,51.00%,44.50%,53.30%,34.70%,5.6,-0.1
139,Lorenzo Musetti,Italy,59.26%,4.2,4.4,3.9,47.80%,47.20%,51.00%,44.50%,53.30%,34.70%,5.6,-0.1
140,Zhizhen Zhang,China,58.82%,4.0,4.2,3.9,47.00%,44.50%,54.80%,51.10%,53.00%,11.50%,6.5,1.3
141,Zhizhen Zhang,China,58.82%,4.0,4.2,3.9,47.00%,44.50%,54.80%,51.10%,53.00%,11.50%,6.5,1.3
142,Bernabe Zapata Miralles,Spain,57.14%,4.8,5.1,4.4,46.20%,51.50%,50.90%,47.00%,50.40%,12.00%,7.5,3.6
143,Bernabe Zapata Miralles,Spain,57.14%,4.8,5.1,4.4,46.20%,51.50%,50.90%,47.00%,50.40%,12.00%,7.5,3.6
144,Lorenzo Sonego,Italy,56.25%,3.3,3.5,3.2,47.90%,39.90%,50.90%,34.60%,56.80%,25.40%,2.2,-5.2
145,Lorenzo Sonego,Italy,56.25%,3.3,3.5,3.2,47.90%,39.90%,50.90%,34.60%,56.80%,25.40%,2.2,-5.2
146,Stan Wawrinka,Switzerland,56.25%,4.0,4.0,4.1,52.90%,45.20%,44.60%,48.30%,48.90%,36.30%,6.0,0.2
147,Stan Wawrinka,Switzerland,56.25%,4.0,4.0,4.1,52.90%,45.20%,44.60%,48.30%,48.90%,36.30%,6.0,0.2
148,Dusan Lajovic,Serbia,55.56%,4.6,4.7,4.4,47.30%,48.30%,47.70%,47.30%,55.30%,19.50%,9.2,-1.7
149,Dusan Lajovic,Serbia,55.56%,4.6,4.7,4.4,47.30%,48.30%,47.70%,47.30%,55.30%,19.50%,9.2,-1.7
150,Dominic Thiem,Austria,54.17%,4.1,4.0,4.2,51.00%,47.40%,43.60%,51.90%,53.00%,33.00%,3.5,-2.5
151,Dominic Thiem,Austria,54.17%,4.1,4.0,4.2,51.00%,47.40%,43.60%,51.90%,53.00%,33.00%,3.5,-2.5
152,Marcos Giron,United States,53.85%,3.9,4.4,3.4,49.00%,38.90%,48.80%,48.70%,49.20%,17.40%,6.3,-0.5
153,Marcos Giron,United States,53.85%,3.9,4.4,3.4,49.00%,38.90%,48.80%,48.70%,49.20%,17.40%,6.3,-0.5
154,Roberto Carballes Baena,Spain,53.85%,5.2,5.6,4.8,49.10%,50.30%,46.30%,47.90%,54.80%,11.30%,11.9,1.0
155,Roberto Carballes Baena,Spain,53.85%,5.2,5.6,4.8,49.10%,50.30%,46.30%,47.90%,54.80%,11.30%,11.9,1.0
156,Alejandro Davidovich Fokina,Spain,52.94%,4.2,4.2,4.3,49.70%,49.40%,51.50%,49.20%,50.20%,12.20%,4.5,0.0
157,Alejandro Davidovich Fokina,Spain,52.94%,4.2,4.2,4.3,49.70%,49.40%,51.50%,49.20%,50.20%,12.20%,4.5,0.0
158,Alexander Shevchenko,Russian Federation,50.00%,4.3,4.6,4.0,47.10%,45.60%,52.00%,43.70%,51.00%,9.40%,1.9,0.0
159,Alexander Shevchenko,Russian Federation,50.00%,4.3,4.6,4.0,47.10%,45.60%,52.00%,43.70%,51.00%,9.40%,1.9,0.0
160,Alex Molcan,Slovakia,50.00%,4.7,5.1,4.4,46.20%,46.30%,54.20%,49.30%,50.60%,21.60%,7.9,-1.3
161,Alex Molcan,Slovakia,50.00%,4.7,5.1,4.4,46.20%,46.30%,54.20%,49.30%,50.60%,21.60%,7.9,-1.3
162,Christopher Oconnell,Australia,50.00%,3.8,3.8,3.8,51.40%,48.90%,50.70%,40.80%,52.40%,54.90%,3.8,0.1
163,Christopher Oconnell,Australia,50.00%,3.8,3.8,3.8,51.40%,48.90%,50.70%,40.80%,52.40%,54.90%,3.8,0.1
164,Hubert Hurkacz,Poland,50.00%,3.8,3.5,4.1,53.70%,48.80%,44.40%,46.50%,52.80%,18.30%,2.5,-3.6
165,Hubert Hurkacz,Poland,50.00%,3.8,3.5,4.1,53.70%,48.80%,44.40%,46.50%,52.80%,18.30%,2.5,-3.6
166,Jiri Lehecka,Czech Republic,50.00%,3.8,3.8,3.8,48.40%,52.10%,47.90%,44.10%,55.00%,16.50%,2.4,-1.0
167,Jiri Lehecka,Czech Republic,50.00%,3.8,3.8,3.8,48.40%,52.10%,47.90%,44.10%,55.00%,16.50%,2.4,-1.0
168,Miomir Kecmanovic,Serbia,50.00%,4.3,4.9,3.5,42.10%,45.20%,46.90%,45.40%,49.20%,19.00%,4.4,1.1
169,Miomir Kecmanovic,Serbia,50.00%,4.3,4.9,3.5,42.10%,45.20%,46.90%,45.40%,49.20%,19.00%,4.4,1.1
170,Alexandre Muller,France,45.45%,4.1,4.5,3.8,47.70%,39.20%,42.10%,37.20%,44.50%,11.00%,-4.8,-5.1
171,Alexandre Muller,France,45.45%,4.1,4.5,3.8,47.70%,39.20%,42.10%,37.20%,44.50%,11.00%,-4.8,-5.1
172,Daniel Evans,United Kingdom,45.45%,4.8,4.6,5.1,48.00%,52.20%,56.80%,46.40%,42.70%,72.70%,8.3,-0.7
173,Daniel Evans,United Kingdom,45.45%,4.8,4.6,5.1,48.00%,52.20%,56.80%,46.40%,42.70%,72.70%,8.3,-0.7
174,Emil Ruusuvuori,Finland,45.45%,4.1,4.4,3.9,45.40%,53.00%,54.30%,48.40%,52.20%,7.40%,1.7,-1.3
175,Emil Ruusuvuori,Finland,45.45%,4.1,4.4,3.9,45.40%,53.00%,54.30%,48.40%,52.20%,7.40%,1.7,-1.3
176,Albert Ramos,Spain,44.00%,4.2,4.8,3.7,42.60%,41.60%,44.80%,50.00%,57.00%,19.50%,6.4,-4.3
177,Albert Ramos,Spain,44.00%,4.2,4.8,3.7,42.60%,41.60%,44.80%,50.00%,57.00%,19.50%,6.4,-4.3
178,Botic Van De Zandschulp,Netherlands,40.00%,4.5,4.5,4.6,48.20%,49.60%,47.20%,46.50%,49.20%,18.10%,4.3,-4.8
179,Botic Van De Zandschulp,Netherlands,40.00%,4.5,4.5,4.6,48.20%,49.60%,47.20%,46.50%,49.20%,18.10%,4.3,-4.8
180,Marton Fucsovics,Hungary,40.00%,4.9,5.0,4.8,46.90%,44.80%,45.80%,50.40%,53.90%,39.70%,5.5,-4.5
181,Marton Fucsovics,Hungary,40.00%,4.9,5.0,4.8,46.90%,44.80%,45.80%,50.40%,53.90%,39.70%,5.5,-4.5
182,Roberto Bautista Agut,Spain,36.36%,5.1,5.5,4.6,51.80%,56.50%,53.30%,49.20%,50.50%,17.80%,16.8,-0.1
183,Roberto Bautista Agut,Spain,36.36%,5.1,5.5,4.6,51.80%,56.50%,53.30%,49.20%,50.50%,17.80%,16.8,-0.1
184,Richard Gasquet,France,20.00%,4.1,4.4,3.7,45.70%,51.90%,50.00%,33.60%,45.00%,22.70%,5.1,1.4
185,Richard Gasquet,France,20.00%,4.1,4.4,3.7,45.70%,51.90%,50.00%,33.60%,45.00%,22.70%,5.1,1.4
186,Marc Andrea Huesler,Switzerland,10.00%,3.6,3.5,3.8,48.00%,45.80%,34.30%,41.00%,55.60%,18.00%,2.4,-4.6
187,Marc Andrea Huesler,Switzerland,10.00%,3.6,3.5,3.8,48.00%,45.80%,34.30%,41.00%,55.60%,18.00%,2.4,-4.6
