,name,country_name,hard_Win%,RPW,vAce%,v1st%,v2nd%,Brk%,PtsW/RG
147,Jiri Lehecka,Czech Republic,54.55%,35.30%,8.20%,25.00%,51.70%,20.20%,2.2
148,Laslo Djere,Serbia,54.55%,34.80%,7.90%,28.70%,45.00%,17.50%,2.3
149,Laslo Djere,Serbia,54.55%,34.80%,7.90%,28.70%,45.00%,17.50%,2.3
150,Cameron Norrie,United Kingdom,53.57%,37.20%,5.40%,28.90%,51.90%,22.60%,2.4
151,Cameron Norrie,United Kingdom,53.57%,37.20%,5.40%,28.90%,51.90%,22.60%,2.4
152,Arthur Fils,France,53.33%,37.50%,8.30%,29.00%,49.80%,24.30%,2.4
153,Arthur Fils,France,53.33%,37.50%,8.30%,29.00%,49.80%,24.30%,2.4
154,Holger Rune,Denmark,53.33%,36.80%,11.00%,27.90%,49.60%,23.30%,2.4
155,Holger Rune,Denmark,53.33%,36.80%,11.00%,27.90%,49.60%,23.30%,2.4
156,Matteo Arnaldi,Italy,53.33%,36.40%,9.10%,28.70%,50.90%,18.70%,2.5
157,Matteo Arnaldi,Italy,53.33%,36.40%,9.10%,28.70%,50.90%,18.70%,2.5
158,Aslan Karatsev,Russian Federation,52.00%,36.70%,9.00%,28.60%,49.90%,21.80%,2.3
159,Aslan Karatsev,Russian Federation,52.00%,36.70%,9.00%,28.60%,49.90%,21.80%,2.3
160,Borna Coric,Croatia,50.00%,34.80%,8.90%,26.80%,48.80%,18.60%,2.2
161,Borna Coric,Croatia,50.00%,34.80%,8.90%,26.80%,48.80%,18.60%,2.2
162,Casper Ruud,Norway,50.00%,36.70%,7.90%,26.40%,53.70%,21.20%,2.4
163,Casper Ruud,Norway,50.00%,36.70%,7.90%,26.40%,53.70%,21.20%,2.4
164,Sebastian Baez,Argentina,50.00%,40.90%,6.90%,32.50%,54.70%,29.10%,2.7
165,Sebastian Baez,Argentina,50.00%,40.90%,6.90%,32.50%,54.70%,29.10%,2.7
166,Sebastian Ofner,Austria,50.00%,37.60%,8.00%,30.50%,49.30%,24.20%,2.4
167,Sebastian Ofner,Austria,50.00%,37.60%,8.00%,30.50%,49.30%,24.20%,2.4
168,Yoshihito Nishioka,Japan,48.28%,36.70%,6.70%,26.60%,52.70%,22.90%,2.3
169,Yoshihito Nishioka,Japan,48.28%,36.70%,6.70%,26.60%,52.70%,22.90%,2.3
170,Francisco Cerundolo,Argentina,47.62%,37.70%,10.10%,28.40%,52.40%,24.60%,2.4
171,Francisco Cerundolo,Argentina,47.62%,37.70%,10.10%,28.40%,52.40%,24.60%,2.4
172,Lorenzo Musetti,Italy,47.62%,40.00%,8.60%,31.30%,53.30%,28.40%,2.6
173,Lorenzo Musetti,Italy,47.62%,40.00%,8.60%,31.30%,53.30%,28.40%,2.6
174,Dusan Lajovic,Serbia,46.67%,37.40%,9.80%,30.50%,48.60%,22.10%,2.4
175,Dusan Lajovic,Serbia,46.67%,37.40%,9.80%,30.50%,48.60%,22.10%,2.4
176,Lorenzo Sonego,Italy,46.67%,34.60%,7.70%,28.20%,45.70%,18.20%,2.2
177,Lorenzo Sonego,Italy,46.67%,34.60%,7.70%,28.20%,45.70%,18.20%,2.2
178,Alexei Popyrin,Australia,45.45%,34.60%,6.10%,28.00%,45.50%,16.80%,2.3
179,Alexei Popyrin,Australia,45.45%,34.60%,6.10%,28.00%,45.50%,16.80%,2.3
180,Roman Safiullin,Russian Federation,45.00%,36.60%,6.70%,28.00%,50.60%,22.40%,2.3
181,Roman Safiullin,Russian Federation,45.00%,36.60%,6.70%,28.00%,50.60%,22.40%,2.3
182,Christopher Eubanks,United States,44.00%,32.60%,8.90%,24.50%,46.40%,14.60%,2.0
183,Christopher Eubanks,United States,44.00%,32.60%,8.90%,24.50%,46.40%,14.60%,2.0
184,Aleksandar Vukic,Australia,40.91%,35.70%,7.10%,27.50%,48.90%,20.60%,2.3
185,Aleksandar Vukic,Australia,40.91%,35.70%,7.10%,27.50%,48.90%,20.60%,2.3
186,Tomas Martin Etcheverry,Argentina,40.00%,37.20%,7.70%,28.30%,50.80%,23.80%,2.3
187,Tomas Martin Etcheverry,Argentina,40.00%,37.20%,7.70%,28.30%,50.80%,23.80%,2.3
188,Daniel Evans,United Kingdom,39.29%,35.20%,10.40%,26.10%,50.10%,18.70%,2.3
189,Daniel Evans,United Kingdom,39.29%,35.20%,10.40%,26.10%,50.10%,18.70%,2.3
190,Max Purcell,Australia,38.89%,33.40%,7.10%,26.80%,45.70%,15.90%,2.1
191,Max Purcell,Australia,38.89%,33.40%,7.10%,26.80%,45.70%,15.90%,2.1
192,Jan Lennard Struff,Germany,36.36%,35.00%,7.00%,28.10%,46.30%,17.30%,2.3
193,Jan Lennard Struff,Germany,36.36%,35.00%,7.00%,28.10%,46.30%,17.30%,2.3
194,Alexander Bublik,Kazakhstan,20.00%,31.50%,8.70%,23.80%,45.00%,12.60%,1.9
195,Alexander Bublik,Kazakhstan,20.00%,31.50%,8.70%,23.80%,45.00%,12.60%,1.9
